name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
bewegingsapparaat,Dokter Patient,gt,transcript_Haiku_4.5,217,"[1.0, 1.0, 1.0]",1.0,0.46038415366146457,0.5345622119815668,0.0,0.31253412704576145
vrijheden,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Haiku_4.5,365,"[0.5307, 0.55983, 0.54488]",0.19382022471910113,0.3546420978029766,0.5452054794520548,0.0,0.20886851584210114
ouderen-zorg,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,457,"[0.67801, 0.66716, 0.67254]",0.0989010989010989,0.10284278493586935,0.9606126914660832,0.0,0.4258068247601904
hartziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_Haiku_4.5,218,"[0.69792, 0.71533, 0.70652]",0.18433179723502305,0.43094405594405594,0.7706422018348624,0.0,0.3062356736349023
antidepressiva,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Haiku_4.5,336,"[0.52505, 0.55184, 0.53811]",0.1206896551724138,0.28682764788552445,1.1339285714285714,0.0,0.3467483475804329
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Haiku_4.5,428,"[0.54234, 0.52443, 0.53324]",0.15,0.2319488817891374,0.5981308411214953,0.0,0.16016244217753411
verzorgings-staat,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,424,"[0.59023, 0.59744, 0.59381]",0.14130434782608695,0.10657758405087712,1.2806603773584906,0.0,0.2852878360585733
abdomen,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,143,"[0.61596, 0.61723, 0.61659]",0.09302325581395349,0.3270344407192929,0.5104895104895105,0.0,0.46852244507698787
hartziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,147,"[0.67027, 0.67804, 0.67413]",0.15668202764976957,0.289044289044289,0.6598639455782312,0.0,0.41230805076303934
ademhaling,Dokter Patient,Cohere Labs Transcribe,transcript_Haiku_4.5,143,"[0.66147, 0.69705, 0.67879]",0.14285714285714285,0.896887159533074,0.2727272727272727,0.0,0.22524998833735785
misbruik,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Haiku_4.5,257,"[0.39084, 0.45, 0.41834]",0.13352272727272727,0.18685878962536023,0.5486381322957199,0.0,0.30316197715307536
ademhaling,Dokter Patient,gt,transcript_Haiku_4.5,120,"[1.0, 1.0, 1.0]",1.0,0.7655642023346303,0.325,0.0,0.180783283497606
neurologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,151,"[0.62095, 0.62349, 0.62222]",0.12133891213389121,0.2609211775878443,0.6821192052980133,0.0,0.4871818988837979
interview-113,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,248,"[0.66109, 0.67875, 0.66981]",0.10479041916167664,0.23430911938320684,0.8387096774193549,0.0,0.48045407498584075
abdomen,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,245,"[0.52881, 0.4924, 0.50995]",0.11627906976744186,0.5260591283145383,0.4857142857142857,0.0,0.30739348754286766
auto-immuunziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,242,"[0.28569, 0.27405, 0.27975]",0.07777777777777778,0.45984807379272924,0.22727272727272727,0.0,0.36321664849917096
seksuele-voorlichting,interviews,NVIDIA Canary 1B v2,transcript_Haiku_4.5,76,"[0.4066, 0.29217, 0.34001]",0.012779552715654952,0.04037748567576677,0.5921052631578947,0.0,0.2539856806397438
misbruik,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Haiku_4.5,419,"[0.49352, 0.53671, 0.51421]",0.23863636363636365,0.2960230547550432,0.7255369928400954,0.0,0.25954867115146235
ouderen-zorg,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,266,"[0.60573, 0.6225, 0.614]",0.07417582417582418,0.062377655067636664,0.7255639097744361,0.0,0.4874019886056582
hulpverleners,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,437,"[0.72154, 0.73629, 0.72884]",0.31746031746031744,0.2260568847483944,1.9450800915331807,0.0,0.4866122238337994
ademhaling,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,241,"[0.46052, 0.51561, 0.48651]",0.13445378151260504,1.6517509727626458,0.14937759336099585,0.0,0.349364448338747
ouderen-zorg,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,92,"[0.4411, 0.3391, 0.38344]",0.01098901098901099,0.020714640488503227,0.5652173913043478,0.0,0.4407569795846939
bewegingsapparaat,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,241,"[0.44275, 0.42762, 0.43505]",0.10648148148148148,0.5111044417767107,0.22821576763485477,0.0,0.3842453633745511
antidepressiva,Psychologische gespreksvoering,gt,transcript_Haiku_4.5,407,"[1.0, 1.0, 1.0]",1.0,0.3027980068991951,1.9631449631449631,0.0,0.47349428981542585
interview-113,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,73,"[0.45601, 0.28305, 0.34929]",0.005988023952095809,0.0669798819419347,0.3698630136986301,0.0,0.3309129148721695
ouder-worden-2040,interviews,gt,transcript_Haiku_4.5,274,"[1.0, 1.0, 1.0]",1.0,0.1743527155435446,1.2080291970802919,0.0,0.548992152276792
studie,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,230,"[0.47795, 0.50279, 0.49005]",0.08256880733944955,0.2180016515276631,0.5739130434782609,0.0,0.2978603278597196
antidepressiva,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,298,"[0.58761, 0.58447, 0.58604]",0.11822660098522167,0.2473489204037307,1.0906040268456376,0.0,0.3756414666771889
GGZ-exposure-therapie,interviews,NVIDIA Canary 1B v2,transcript_Haiku_4.5,375,"[0.80992, 0.82566, 0.81771]",0.5865384615384616,0.10603290676416818,1.1013333333333333,0.0,0.6047063157671974
ouderen-zorg,interviews,NVIDIA Canary 1B v2,transcript_Haiku_4.5,458,"[0.59689, 0.5917, 0.59428]",0.11813186813186813,0.10015484851140913,0.9454148471615721,0.0,0.400073050549536
